r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
355,34.0,-4.1667,186.75,"(0.826846, -0.0602367, 0.559193)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD820>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.313244999982985,28.366988297259944,,
1238,43.4667,-3.9333,97.2,"(0.724065, -0.0497846, 0.687933)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD890>,,,,,,,,,,,,,,,,,,,-0.949104781235465,32.39482453404261,,,,,,,,,,,,,,,,,,,,
1472,36.95,-3.7528,9.45,"(0.797447, -0.0523066, 0.601118)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD900>,-4.174177711489928,37.05168761753829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,37.15,-3.5333,9.45,"(0.795542, -0.0491216, 0.603904)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD970>,-3.955569389938739,37.2525128670068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,32.2667,-3.4333,186.75,"(0.844055, -0.0506384, 0.533861)",714,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD9E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20537490208300369,26.528634248598067,,
2000,34.1833,-3.25,8.15,"(0.825914, -0.0468988, 0.561842)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADA50>,-3.4405209795887863,34.114289978906605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,33.0,-3.0,169.7,"(0.837521, -0.0438926, 0.544639)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADAC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5638614640456874,27.440926567647946,,,,,,
3582,35.0,-2.65,6.3,"(0.818276, -0.0378733, 0.573576)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADB30>,-2.8347476885943097,34.92783718435312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,42.2333,-2.6333,154.7,"(0.739632, -0.0340173, 0.672151)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADBA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.802263004950661,33.909684643212884,,,,,,,,
662,37.35,-2.35,8.15,"(0.794276, -0.0325957, 0.606682)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADC10>,-2.7718180436649984,37.45694536920318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,36.95,-2.2167,8.45,"(0.798562, -0.0309108, 0.601118)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADC80>,-2.6359803341746346,37.05744649491112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,41.7833,-2.15,154.7,"(0.745145, -0.0279744, 0.666315)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADCF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.913283611390177,33.34142830601755,,,,,,,,
664,37.15,-2.1167,6.3,"(0.796513, -0.0294393, 0.603904)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADF90>,-2.5370097724523877,37.257816594590835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,42.85,-2.0833,57.6,"(0.732652, -0.0266513, 0.680081)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADDD0>,,,,,,,,,,,-3.017456365335356,37.76407671801663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,42.8667,-1.95,63.8,"(0.732514, -0.02494, 0.680295)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADE40>,,,,,,,,,,,,,-2.8823438480240657,35.5422125823843,,,,,,,,,,,,,,,,,,,,,,,,,,
728,42.8667,-1.95,63.8,"(0.732514, -0.02494, 0.680295)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADD60>,,,,,,,,,,,,,-2.8823438480240657,35.5422125823843,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,34.6333,-1.9333,8.45,"(0.822338, -0.0277582, 0.568322)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADEB0>,-2.1215383072322713,34.55740872551493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,32.5167,-1.6667,186.75,"(0.842878, -0.0245257, 0.537545)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DADF20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.048943329885037,26.06354519861558,,
357,34.25,-1.6667,176.5,"(0.82624, -0.0240416, 0.562805)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD040>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05307556272792187,27.771135926241598,,,,
376,34.25,-1.6667,169.7,"(0.82624, -0.0240416, 0.562805)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE120>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23398677120729944,27.95181664175994,,,,,,
3233,32.5167,-1.6667,196.05,"(0.842878, -0.0245257, 0.537545)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE190>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.898410941965902,24.19008382783983
500,40.3389,-1.6167,154.7,"(0.761926, -0.0215048, 0.647307)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE0B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.501497836885352,31.88277874213383,,,,,,,,
501,40.15,-1.4167,151.15,"(0.764125, -0.0188977, 0.644791)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55280167430523,31.643853641307555,,,,,,,,
502,40.25,-1.4,154.7,"(0.763005, -0.0186474, 0.646124)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE270>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.622146686814585,31.725588658569592,,,,,,,,
378,32.3333,-1.3333,169.7,"(0.844722, -0.0196606, 0.534844)",714,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE2E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2852133540650046,26.066817186402464,,,,,,
1979,35.1833,-1.3333,6.3,"(0.817092, -0.0190175, 0.576194)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE350>,-1.5178687870927814,35.10427931108412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,37.85,-1.1833,6.3,"(0.789451, -0.0163064, 0.613596)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE3C0>,-1.606374266620849,37.961267888880435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3578,35.55,-1.1667,6.3,"(0.81344, -0.0165662, 0.581413)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE430>,-1.348577725856888,35.47010756854276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,38.2167,-1.1333,9.45,"(0.785523, -0.0155395, 0.618637)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE4A0>,-1.5584826175500213,38.32814833399796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571,43.7333,-1.05,18.2,"(0.722444, -0.013241, 0.691302)",305,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE510>,,,-2.378020006577122,43.83497395504993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,38.0,-1.0167,6.3,"(0.787887, -0.0139823, 0.615661)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAE580>,-1.440412858984808,38.111880563616126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
