r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
351,32.5167,-1.6667,186.75,"(0.842878, -0.0245257, 0.537545)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F7B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3865037576983825,23.723183783096793,,
357,34.25,-1.6667,176.5,"(0.82624, -0.0240416, 0.562805)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F820>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5864713759868514,22.074939187142128,,,,
376,34.25,-1.6667,169.7,"(0.82624, -0.0240416, 0.562805)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F890>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7955678629692686,19.931191990937695,,,,,,
3233,32.5167,-1.6667,196.05,"(0.842878, -0.0245257, 0.537545)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F900>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.397329061796784,22.54561811289651
500,40.3389,-1.6167,154.7,"(0.761926, -0.0215048, 0.647307)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F970>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.918387082977869,25.700914331415486,,,,,,,,
501,40.15,-1.4167,151.15,"(0.764125, -0.0188977, 0.644791)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F9E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9058719589355055,25.45830254694353,,,,,,,,
502,40.25,-1.4,154.7,"(0.763005, -0.0186474, 0.646124)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9FA50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9899315851825,25.524676335331925,,,,,,,,
378,32.3333,-1.3333,169.7,"(0.844722, -0.0196606, 0.534844)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9FAC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9249795546147916,18.177818981578582,,,,,,
1979,35.1833,-1.3333,6.3,"(0.817092, -0.0190175, 0.576194)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9FB30>,-1.9852979946999245,33.507821645971745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,37.85,-1.1833,6.3,"(0.789451, -0.0163064, 0.613596)",304,250.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9FBA0>,-2.0703046300868024,36.42200342349496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3578,35.55,-1.1667,6.3,"(0.81344, -0.0165662, 0.581413)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9FC10>,-1.824502707208089,33.87528152632109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,38.2167,-1.1333,9.45,"(0.785523, -0.0155395, 0.618637)",304,250.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9FC80>,-2.029105381636292,36.78932623607873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571,43.7333,-1.05,18.2,"(0.722444, -0.013241, 0.691302)",305,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9FCF0>,,,-3.7331536677617976,39.81753980910934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,38.0,-1.0167,6.3,"(0.787887, -0.0139823, 0.615661)",304,250.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9FF90>,-1.910059060530252,36.57424131943792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
