r_number,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
1238,-3.9333,43.4667,97.2,"(0.724065, -0.0497846, 0.687933)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290703957B0>,,,,,,,,,,,,,,,,,,,9.340070393181229,33.34182326432719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,-3.7528,36.95,9.45,"(0.797447, -0.0523066, 0.601118)",329,600.0,<pygplates.pygplates.Feature object at 0x0000029070395740>,-4.06998304956446,35.4762419246183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,-3.5333,37.15,9.45,"(0.795542, -0.0491216, 0.603904)",329,600.0,<pygplates.pygplates.Feature object at 0x00000290703956D0>,-3.858367883253103,35.678892009843395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,-3.4333,32.2667,186.75,"(0.844055, -0.0506384, 0.533861)",714,600.0,<pygplates.pygplates.Feature object at 0x0000029070395660>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.284137777001915,24.705042412807927,,,,,,,,,,
2000,-3.25,34.1833,8.15,"(0.825914, -0.0468988, 0.561842)",706,600.0,<pygplates.pygplates.Feature object at 0x00000290703955F0>,-3.3801958172690467,32.49485492201159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,-3.0,33.0,169.7,"(0.837521, -0.0438926, 0.544639)",706,600.0,<pygplates.pygplates.Feature object at 0x0000029070395580>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.110985150685295,19.965572907536142,,,,,,,,,,,,,,
3582,-2.65,35.0,6.3,"(0.818276, -0.0378733, 0.573576)",721,600.0,<pygplates.pygplates.Feature object at 0x0000029070395510>,-2.796112761512484,33.31368930429388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,-2.6333,42.2333,154.7,"(0.739632, -0.0340173, 0.672151)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290703954A0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.57892069159607,27.2609988578814,,,,,,,,,,,,,,,,
662,-2.35,37.35,8.15,"(0.794276, -0.0325957, 0.606682)",329,600.0,<pygplates.pygplates.Feature object at 0x0000029070395430>,-2.701253847901243,35.893641934042705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,-2.2167,36.95,8.45,"(0.798562, -0.0309108, 0.601118)",329,600.0,<pygplates.pygplates.Feature object at 0x00000290703953C0>,-2.56255217489169,35.49539619327335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
